iter	Passed	Remaining
637	15917	33980
638	15941	33952
639	15966	33927
640	15992	33906
641	16020	33886
642	16046	33864
643	16078	33854
644	16097	33816
645	16127	33802
646	16158	33790
647	16186	33771
648	16212	33749
649	16239	33727
650	16276	33728
651	16300	33700
652	16328	33682
653	16353	33656
654	16380	33636
655	16408	33618
656	16435	33596
657	16459	33569
658	16494	33564
659	16527	33555
660	16573	33572
661	16605	33562
662	16639	33554
663	16671	33542
664	16696	33517
665	16725	33501
666	16751	33478
667	16775	33451
668	16806	33437
669	16839	33427
670	16864	33403
671	16888	33374
672	16916	33354
673	16945	33338
674	16973	33319
675	16996	33288
676	17021	33262
677	17048	33242
678	17077	33224
679	17100	33196
680	17123	33165
681	17150	33144
682	17183	33135
683	17215	33122
684	17242	33100
685	17272	33085
686	17297	33058
687	17320	33030
688	17342	32997
689	17369	32977
690	17394	32951
691	17419	32925
692	17440	32892
693	17461	32860
694	17484	32829
695	17504	32795
696	17527	32766
697	17553	32743
698	17577	32715
699	17605	32695
700	17633	32675
701	17657	32649
702	17685	32628
703	17707	32597
704	17730	32569
705	17753	32540
706	17779	32515
707	17804	32490
708	17828	32464
709	17850	32433
710	17877	32411
711	17901	32384
712	17924	32353
713	17944	32320
714	17971	32297
715	17994	32269
716	18019	32244
717	18044	32219
718	18069	32192
719	18090	32161
720	18113	32131
721	18134	32099
722	18161	32077
723	18188	32056
724	18216	32035
725	18243	32014
726	18277	32004
727	18304	31982
728	18326	31952
729	18347	31920
730	18373	31895
731	18393	31861
732	18416	31833
733	18442	31809
734	18468	31786
735	18491	31756
736	18517	31733
737	18543	31709
738	18568	31685
739	18589	31652
740	18615	31628
741	18640	31603
742	18661	31571
743	18684	31542
744	18710	31518
745	18733	31489
746	18754	31457
747	18779	31432
748	18804	31407
749	18824	31374
750	18845	31342
751	18870	31317
752	18898	31296
753	18923	31270
754	18943	31238
755	18966	31209
756	18992	31185
757	19017	31159
758	19039	31129
759	19062	31102
760	19086	31074
761	19110	31048
762	19135	31022
763	19155	30989
764	19179	30963
765	19203	30935
766	19228	30910
767	19254	30887
768	19280	30864
769	19301	30831
770	19322	30801
771	19348	30776
772	19369	30745
773	19395	30721
774	19423	30702
775	19456	30689
776	19481	30664
777	19505	30636
778	19526	30606
779	19550	30578
780	19572	30549
781	19596	30522
782	19620	30495
783	19649	30476
784	19675	30453
785	19700	30427
786	19728	30407
787	19752	30380
788	19778	30356
789	19801	30328
790	19823	30299
791	19849	30275
792	19871	30246
793	19892	30214
794	19917	30189
795	19939	30159
796	19966	30137
797	19992	30113
798	20041	30124
799	20085	30127
800	20110	30102
801	20139	30083
802	20164	30058
803	20189	30032
804	20209	29999
805	20230	29969
806	20252	29939
807	20273	29908
808	20298	29883
809	20318	29850
810	20343	29824
811	20364	29794
812	20392	29774
813	20425	29759
814	20444	29725
815	20466	29697
816	20489	29668
817	20515	29645
818	20540	29619
819	20561	29588
820	20585	29561
821	20611	29538
822	20635	29511
823	20664	29491
824	20690	29467
825	20717	29445
826	20746	29426
827	20778	29411
828	20797	29378
829	20819	29348
830	20844	29323
831	20871	29300
832	20895	29273
833	20922	29251
834	20949	29228
835	20971	29199
836	20997	29175
837	21020	29147
838	21041	29117
839	21065	29091
840	21086	29060
841	21109	29031
842	21132	29004
843	21154	28974
844	21180	28950
845	21200	28919
846	21225	28894
847	21248	28866
848	21273	28840
849	21303	28821
850	21326	28794
851	21347	28764
852	21376	28744
853	21403	28721
854	21427	28695
855	21457	28676
856	21484	28654
857	21507	28626
858	21528	28596
859	21555	28573
860	21579	28547
861	21604	28521
862	21630	28498
863	21657	28475
864	21677	28443
865	21700	28416
866	21724	28389
867	21746	28360
868	21771	28335
869	21791	28304
870	21809	28269
871	21833	28243
872	21860	28221
873	21885	28195
874	21910	28171
875	21932	28141
876	21957	28116
877	21987	28097
878	22011	28071
879	22033	28042
880	22060	28020
881	22082	27991
882	22109	27969
883	22132	27941
884	22154	27911
885	22179	27886
886	22205	27863
887	22227	27834
888	22249	27805
889	22278	27784
890	22302	27759
891	22323	27729
892	22346	27701
893	22373	27678
894	22396	27651
895	22422	27627
896	22443	27597
897	22467	27572
898	22490	27543
899	22514	27517
900	22537	27490
901	22616	27530
902	22650	27517
903	22673	27489
904	22692	27456
905	22719	27433
906	22742	27406
907	22769	27383
908	22788	27350
909	22811	27323
910	22834	27296
911	22863	27275
912	22890	27252
913	22916	27228
914	22942	27204
915	22964	27176
916	22988	27149
917	23010	27120
918	23035	27096
919	23060	27071
920	23083	27043
921	23104	27013
922	23124	26983
923	23147	26955
924	23174	26932
925	23204	26913
926	23230	26889
927	23261	26871
928	23285	26844
929	23302	26810
930	23325	26782
931	23345	26752
932	23370	26726
933	23394	26700
934	23421	26678
935	23447	26654
936	23473	26629
937	23497	26603
938	23523	26579
939	23547	26553
940	23573	26529
941	23595	26500
942	23620	26476
943	23645	26451
944	23667	26422
945	23693	26398
946	23722	26377
947	23744	26349
948	23773	26328
949	23794	26299
950	23821	26276
951	23847	26251
952	23868	26222
953	23890	26194
954	23915	26169
955	23935	26139
956	23959	26112
957	23980	26083
958	24007	26060
959	24029	26031
960	24048	26000
961	24068	25969
962	24090	25941
963	24115	25916
964	24140	25891
965	24165	25866
966	24188	25839
967	24212	25813
968	24235	25785
969	24257	25757
970	24284	25735
971	24304	25704
972	24330	25680
973	24355	25655
974	24377	25627
975	24403	25603
976	24429	25579
977	24455	25555
978	24476	25526
979	24503	25503
980	24530	25480
981	24555	25456
982	24584	25434
983	24610	25410
984	24634	25384
985	24659	25360
986	24684	25335
987	24711	25311
988	24741	25291
